Loja;Produto Encontrado;Preco Normal;Oferta;EAN;Nivel de Extracao;URL
Mercadinhos Sao Luiz;ARROZ ARBÓRIO INVERNI 1KG;R$51,89;—;;—;
Mercadinhos Sao Luiz;ARROZ CAMIL INTEGRAL 1KG;R$6,09;—;;—;
Mercadinhos Sao Luiz;ARROZ CAMIL INTEGRAL 1KG;R$6,09;—;;—;
Mercadinhos Sao Luiz;ARROZ ARBÓRIO PAGANINI 1KG;R$42,90;—;;—;
Mercadinhos Sao Luiz;ARROZ ARBÓRIO PAGANINI 1KG;R$42,90;—;;—;
Mercadinhos Sao Luiz;FARINHA DE ARROZ TIO JOÃO 1KG;R$7,49;—;;—;
Mercadinhos Sao Luiz;FARINHA DE ARROZ TIO JOÃO 1KG;R$7,49;—;;—;
Mercadinhos Sao Luiz;ARROZ ARBÓRIO LA PASTINA 1KG;R$49,99;—;;—;
Mercadinhos Sao Luiz;ARROZ ARBÓRIO LA PASTINA 1KG;R$49,99;—;;—;
Mercadinhos Sao Luiz;500 g;R$ 45,00;R$22,50;;—;
Mercadinhos Sao Luiz;ARROZ CENOURA E AMENDOAS 1KG;R$ 45,00;R$22,50;;—;
Mercadinhos Sao Luiz;ARROZ CARNAROLLI PAGANINI 1KG;R$43,09;—;;—;
Mercadinhos Sao Luiz;ARROZ CARNAROLLI PAGANINI 1KG;R$43,09;—;;—;
Mercadinhos Sao Luiz;ARROZ URBANO PARBOILIZADO LONGO FINO 1KG;R$4,15;—;;—;
Mercadinhos Sao Luiz;ARROZ URBANO PARBOILIZADO LONGO FINO 1KG;R$4,15;—;;—;
Mercadinhos Sao Luiz;ARROZ ARA BRANCO LONGO FINO TIPO 1 1KG;R$3,79;—;;—;
Mercadinhos Sao Luiz;ARROZ ARA BRANCO LONGO FINO TIPO 1 1KG;R$3,79;—;;—;
Mercadinhos Sao Luiz;ARROZ LA PASTINA 1KG RISO PARA RISOTO;R$44,65;—;;—;
Mercadinhos Sao Luiz;ARROZ LA PASTINA 1KG RISO PARA RISOTO;R$44,65;—;;—;
Mercadinhos Sao Luiz;ARROZ TIO JOÃO PARBOILIZADO 1KG;R$ 4,69;R$3,99;;—;
Mercadinhos Sao Luiz;ARROZ TIO JOÃO PARBOILIZADO 1KG;R$ 4,69;R$3,99;;—;
Mercadinhos Sao Luiz;MASSA DE ARROZ URBANO PENA 500G;R$5,49;—;;—;
Mercadinhos Sao Luiz;MASSA DE ARROZ URBANO PENA 500G;R$5,49;—;;—;
Mercadinhos Sao Luiz;MAC DE ARROZ URBANO LASANHA 250G;R$18,59;—;;—;
Mercadinhos Sao Luiz;MAC DE ARROZ URBANO LASANHA 250G;R$18,59;—;;—;
Mercadinhos Sao Luiz;CHIMARRAO MATTE LEAO 1KG;R$41,35;—;;—;
Mercadinhos Sao Luiz;CHIMARRAO MATTE LEAO 1KG;R$41,35;—;;—;
Mercadinhos Sao Luiz;ARROZ TIO JOÃO BRANCO LONGO FINO TIPO 1 1KG;R$6,69;—;;—;
Mercadinhos Sao Luiz;ARROZ TIO JOÃO BRANCO LONGO FINO TIPO 1 1KG;R$6,69;—;;—;
Mercadinhos Sao Luiz;ARROZ TIO JOÃO ORGÂNICO INTEGRAL 1KG;R$17,49;—;;—;
Mercadinhos Sao Luiz;ARROZ TIO JOÃO ORGÂNICO INTEGRAL 1KG;R$17,49;—;;—;
Mercadinhos Sao Luiz;MACARRÃO MIFUM ALFA ARROZ 200G;R$12,05;—;;—;
Mercadinhos Sao Luiz;MACARRÃO MIFUM ALFA ARROZ 200G;R$12,05;—;;—;
Mercadinhos Sao Luiz;FLOCÃO DE ARROZ URBANO 500G;R$3,35;—;;—;
Mercadinhos Sao Luiz;FLOCÃO DE ARROZ URBANO 500G;R$3,35;—;;—;
Mercadinhos Sao Luiz;ARROZ CAMIL PARBOILIZADO LONGO FINO TIPO 1 1KG;R$4,35;—;;—;
Mercadinhos Sao Luiz;ARROZ CAMIL PARBOILIZADO LONGO FINO TIPO 1 1KG;R$4,35;—;;—;
Atacadao;Arroz Camil Agulhinha - Tipo 1 5kg;R$ 19,89;R$ 19,39;12658945;Nivel 4 (JSON-LD/Script);https://www.atacadao.com.br/arroz-camil-agulhinha---tipo-1-pacote-com-5kg-12658-13743/p
Atacadao;/ cada;R$ 19,89;—;;—;
Atacadao;Arroz Solito Agulhinha - Tipo 1 5kg;R$ 17,29;R$ 16,79;61094982;Nivel 4 (JSON-LD/Script);https://www.atacadao.com.br/arroz-solito-agulhinha-tipo-1-61094-14942/p
Atacadao;/ cada;R$ 17,29;—;;—;
Atacadao;Arroz Camil Agulhinha Tipo 1 1kg;R$ 3,99;R$ 3,80;12474982;Nivel 4 (JSON-LD/Script);https://www.atacadao.com.br/arroz-camil-agulhinha-tipo-1-pacote-com-1kg-12474-13748/p
Atacadao;/ cada;R$ 3,99;—;;—;
Atacadao;Arroz Tio João Agulhinha - Tipo 1 5kg;R$ 27,29;R$ 26,79;1769118120000;Nivel 3.5 (Regex HTML);https://www.atacadao.com.br/arroz-tio-joao-agulhinha---tipo-1-5148-15022/p
Atacadao;/ cada;R$ 27,29;—;;—;
Atacadao;Arroz Namorado Agulhinha Tipo 1 1kg;R$ 4,00;R$ 3,50;28973965;Nivel 4 (JSON-LD/Script);https://www.atacadao.com.br/arroz-namorado-agulhinha-tipo-1-28973-14450/p
Atacadao;/ cada;R$ 4,00;—;;—;
Atacadao;Arroz Camil Integral 1kg;R$ 5,00;R$ 4,80;1769118120000;Nivel 3.5 (Regex HTML);https://www.atacadao.com.br/arroz-camil-integral-pacote-com-1kg-3372-13757/p
Atacadao;/ cada;R$ 5,00;—;;—;
Atacadao;Arroz Momiji Japonês Tipo 1 5kg;R$ 52,00;R$ 48,88;15782908;Nivel 4 (JSON-LD/Script);https://www.atacadao.com.br/arroz-momiji-japones-tipo-1-15782-14439/p
Atacadao;/ cada;R$ 52,00;—;;—;
Atacadao;Arroz Tio João Agulhinha - Tipo 1 1kg;R$ 6,50;R$ 5,90;12158990;Nivel 4 (JSON-LD/Script);https://www.atacadao.com.br/arroz-tio-joao-agulhinha---tipo-1-12158-15018/p
Atacadao;/ cada;R$ 6,50;—;;—;
Atacadao;Arroz Camil Parboilizado Tipo 1 1kg;R$ 4,00;R$ 3,49;11306946;Nivel 4 (JSON-LD/Script);https://www.atacadao.com.br/arroz-camil-parboilizado-tipo-1-pacote-com-1kg-11306-13767/p
Atacadao;Arroz Albaruska Agulhinha Tipo 1 5kg;R$ 27,39;R$ 26,89;34107915;Nivel 4 (JSON-LD/Script);https://www.atacadao.com.br/arroz-albaruska-agulhinha-tipo-1-34107-13499/p
Atacadao;/ cada;R$ 27,39;—;;—;
Atacadao;Arroz Prato Fino Integral Tipo 1 1kg;R$ 5,50;R$ 5,29;39738964;Nivel 4 (JSON-LD/Script);https://www.atacadao.com.br/arroz-prato-fino-integral-tipo-1-39738-14666/p
Atacadao;/ cada;R$ 5,50;—;;—;
Atacadao;Arroz Integral Tio João Tipo 1 1kg;R$ 5,20;R$ 4,98;46814966;Nivel 4 (JSON-LD/Script);https://www.atacadao.com.br/arroz-integral-tio-joao-tipo-1-46814-14243/p
Atacadao;/ cada;R$ 5,20;—;;—;
Atacadao;Arroz Patéko Agulhinha- Tipo 1 5kg;R$ 15,69;R$ 15,19;16175960;Nivel 4 (JSON-LD/Script);https://www.atacadao.com.br/arroz-pateko-agulhinha-16175-14583/p
Atacadao;/ cada;R$ 15,69;—;;—;
Atacadao;Arroz Vila Nova Parboilizado - Tipo 1 5kg;R$ 15,50;R$ 14,88;13161950;Nivel 4 (JSON-LD/Script);https://www.atacadao.com.br/arroz-vila-nova-parboilizado---tipo-1-13161-15219/p
Atacadao;/ cada;R$ 15,50;—;;—;
Atacadao;Arroz Sabor Máximo Agulhinha Tipo 1 5kg;R$ 16,39;R$ 15,89;35781947;Nivel 4 (JSON-LD/Script);https://www.atacadao.com.br/arroz-sabor-maximo-agulhinha-tipo-1-35781-14357/p
Atacadao;/ cada;R$ 16,39;—;;—;
Atacadao;Arroz Empório São João Agulhinha Tipo 1 5kg;R$ 25,89;R$ 25,39;57067914;Nivel 4 (JSON-LD/Script);https://www.atacadao.com.br/arroz-emporio-sao-joao-agulhinha-tipo-1-57067-14003/p
Atacadao;/ cada;R$ 25,89;—;;—;
Atacadao;Arroz Integral Tio João 7 Grãos com quinoa 500g;R$ 12,00;R$ 10,98;64792984;Nivel 4 (JSON-LD/Script);https://www.atacadao.com.br/arroz-integral-tio-joao-7-graos-com-quinoa-64792-14230/p
Atacadao;/ cada;R$ 12,00;—;;—;
Atacadao;Arroz Urbano Italiano - Tipo 1 1kg;R$ 21,50;R$ 20,88;32089901;Nivel 4 (JSON-LD/Script);https://www.atacadao.com.br/arroz-urbano-italiano---tipo-1-pacote-com-1kg-32089-15165/p
Atacadao;/ cada;R$ 21,50;—;;—;
Atacadao;Arroz Integral Meu Biju 8 Grãos com Quinoa 500g;R$ 10,50;R$ 9,85;77764961;Nivel 4 (JSON-LD/Script);https://www.atacadao.com.br/arroz-integral-meu-biju-8-graos-com-quinoa-77764-14214/p
Atacadao;/ cada;R$ 10,50;—;;—;
Atacadao;Arroz Albaruska Agulhinha Tipo 1 1kg;R$ 6,00;R$ 5,50;91060900;Nivel 4 (JSON-LD/Script);https://www.atacadao.com.br/arroz-albaruska-agulhinha-tipo-1-91060-40836/p
Atacadao;/ cada;R$ 6,00;—;;—;
